id,area,aspects,solidities,extents,perimeters,eccentricities,labels
248,10530.5,1.625,0.923282618708,0.175789596688,801.903668404,1.0,2
249,10439.0,1.68852459016,0.9391812781,0.18460749465,785.518892527,1.0,2
250,8381.5,1.38728323699,0.923276041823,0.201866570328,644.5066998,1.0,2
251,8208.5,1.41104294479,0.947590176651,0.218951720459,615.05085516,1.0,2
252,9226.0,1.51630434783,0.923015347676,0.179717936731,729.862037778,1.0,2
253,8483.0,1.39411764706,0.921264108153,0.210548523207,637.778776765,1.0,2
254,10432.5,1.62841530055,0.944930021784,0.191302673561,765.276251554,1.0,2
255,10413.5,1.68393782383,0.904970879421,0.166018333998,829.90366888,1.0,2
256,10398.0,1.62303664921,0.934819734471,0.175612227664,795.317881703,1.0,2
257,10581.0,1.68279569892,0.943973584227,0.181747913017,796.004173875,1.0,2
258,10307.5,1.65979381443,0.887773990028,0.165004482295,824.732094646,1.0,2
259,10728.5,1.65816326531,0.897369404062,0.168422291994,834.732095242,1.0,2
260,10473.0,1.67934782609,0.938146630195,0.184202195019,787.518893003,1.0,2
261,10078.5,1.61827956989,0.93095325207,0.18001821884,776.104679823,1.0,2
262,10098.5,1.67582417582,0.941760692514,0.181922176184,777.276252627,1.0,2
263,11150.0,1.65841584158,0.895330622754,0.164770208364,856.773725867,1.0,2
264,8438.0,1.41040462428,0.915035504907,0.199895764238,654.264057517,1.0,2
265,9749.0,1.67630057803,0.945128444546,0.194319314331,740.406195164,1.0,2
266,8099.5,1.35975609756,0.925392734357,0.221467242699,605.394000888,0.99,2
267,9477.5,1.57065217391,0.932136700938,0.178228900256,750.447823167,1.0,2
268,9376.0,1.65909090909,0.942453626753,0.182440846824,744.548330545,1.0,2
269,8801.5,1.60588235294,0.948999935856,0.189646627882,703.335127115,1.0,2
270,9160.5,1.60752688172,0.919267426801,0.164715719064,774.933105588,1.0,2
271,10564.0,1.67346938776,0.893021675531,0.164323046292,838.974735856,1.0,2
272,11359.5,1.62189054726,0.932673747423,0.173358666789,837.359512806,1.0,2
